101_A,27,44.0,12.0,0.0,5.0,12.0,2.0,1.0,0.0
101_E,10,16.0,4.0,0.0,3.0,4.0,3.0,1.0,0.0
102_B,20,32.0,10.0,0.0,3.0,10.0,3.0,2,0.0
103_A,20,32.0,9.0,0.0,3.0,9.0,3.0,1,0.0
105_A,19,46.0,7.0,0.0,3.0,7.0,3.0,1,0.0
105_B,39,63.0,21.0,0.0,5.0,21.0,1.0,1,0.0
105_C,5,11.0,1.0,0.0,1.0,1.0,2.0,1,0.0
105_E,56,113.0,27.0,0.0,7.0,27.0,2.0,2,0.0
106_B,24,38.0,14.0,0.0,5.0,14.0,2.0,1,0.0
106_C,47,77.0,28.0,0.0,3.0,28.0,3.0,3,0.0
106_D,39,68.0,18.0,0.0,6.0,18.0,2.0,3,0.0
107_A,25,41.0,15.0,0.0,4.0,15.0,2.0,2,0.0
107_B,26,40.0,12.0,2.0,3.0,12.0,3.0,1,0.0
107_C,14,23.0,7.0,0.0,3.0,7.0,3.0,1,0.0
107_D,16,26.0,9.0,0.0,3.0,9.0,3.0,2,0.0
107_E,55,105.0,30.0,1.0,3.0,30.0,3.0,1,0.0
108_A,23,41.0,6.0,0.0,4.0,6.0,2.0,1,0.0
108_B,32,54.0,16.0,0.0,5.0,16.0,2.0,1,0.0
109_A,10,17.0,4.0,0.0,3.0,4.0,3.0,1,0.0
109_C,15,28.0,5.0,0.0,4.0,5.0,2.0,1,0.0
109_D,21,35.0,10.0,0.0,4.0,10.0,4.0,1,0.0
10_A,83,135.0,44.0,0.0,9.0,44.0,2.0,1,0.0
10_C,31,48.0,15.0,0.0,3.0,15.0,3.0,2,0.0
10_D,42,69.0,24.0,0.0,6.0,24.0,2.0,3,0.0
10_E,39,61.0,24.0,0.0,3.0,24.0,3.0,3,0.0
110_A,19,33.0,6.0,0.0,4.0,6.0,1.0,1,0.0
110_B,13,22.0,5.0,0.0,3.0,5.0,3.0,1,0.0
111_D,17,29.0,9.0,0.0,3.0,9.0,3.0,1,0.0
113_A,5,11.0,1.0,0.0,1.0,1.0,2.0,1,0.0
113_C,19,33.0,7.0,0.0,5.0,7.0,2.0,1,0.0
114_A,19,31.0,9.0,0.0,4.0,9.0,1.0,1,0.0
115_A,15,25.0,9.0,0.0,2.0,9.0,2.0,2,0.0
115_D,24,39.0,13.0,0.0,3.0,13.0,3.0,2,0.0
115_E,5,11.0,1.0,0.0,1.0,1.0,2.0,1,200003.0
117_A,103,174.0,45.0,0.0,19.0,45.0,2.0,1,0.0
117_B,31,47.0,11.0,0.0,6.0,11.0,1.0,1,0.0
117_C,55,94.0,26.0,0.0,10.0,26.0,2.0,1,0.0
117_D,14,32.0,7.0,0.0,2.0,7.0,2.0,1,0.0
118_B,13,21.0,5.0,0.0,3.0,5.0,3.0,2,0.0
118_C,41,72.0,21.0,0.0,6.0,21.0,2.0,2,0.0
118_D,42,73.0,26.0,0.0,3.0,26.0,3.0,3,0.0
118_E,5,11.0,1.0,0.0,1.0,1.0,2.0,1,100005.0
119_A,15,26.0,8.0,0.0,2.0,8.0,2.0,1,0.0
119_C,37,60.0,23.0,0.0,5.0,23.0,2.0,2,0.0
119_E,5,11.0,1.0,0.0,1.0,1.0,2.0,1,10005.0
11_A,54,88.0,29.0,0.0,6.0,29.0,2.0,1,0.0
11_B,19,32.0,8.0,0.0,4.0,8.0,1.0,1,0.0
11_C,5,11.0,1.0,0.0,1.0,1.0,2.0,1,250.0
11_D,47,78.0,24.0,0.0,6.0,24.0,2.0,3,0.0
11_E,5,13.0,1.0,0.0,1.0,1.0,2.0,1,1000005.0
120_C,28,45.0,12.0,0.0,6.0,12.0,2.0,1,0.0
120_H,5,11.0,1.0,0.0,1.0,1.0,2.0,1,205.0
121_A,24,43.0,13.0,0.0,2.0,13.0,2.0,1,0.0
121_B,28,51.0,8.0,0.0,6.0,8.0,1.0,2,0.0
121_C,20,42.0,9.0,0.0,5.0,9.0,1.0,2,0.0
121_D,5,11.0,1.0,0.0,1.0,1.0,2.0,1,600010.0
121_E,17,27.0,9.0,0.0,3.0,9.0,3.0,1,0.0
122_B,20,37.0,9.0,0.0,3.0,9.0,1.0,1,0.0
124_B,25,40.0,13.0,0.0,3.0,13.0,3.0,3,0.0
125_B,10,19.0,4.0,0.0,3.0,4.0,2.0,2,0.0
125_C,5,11.0,1.0,0.0,1.0,1.0,2.0,1,10010.0
125_D,21,35.0,10.0,0.0,5.0,10.0,2.0,1,0.0
125_E,25,43.0,14.0,1.0,5.0,14.0,2.0,1,0.0
127_A,33,54.0,16.0,1.0,2.0,16.0,2.0,1,0.0
127_B,27,46.0,13.0,0.0,5.0,13.0,2.0,1,0.0
128_A,52,89.0,23.0,0.0,10.0,23.0,2.0,2,0.0
128_B,28,44.0,16.0,0.0,3.0,16.0,3.0,2,0.0
128_C,35,58.0,19.0,0.0,3.0,19.0,3.0,2,0.0
128_D,45,74.0,24.0,0.0,9.0,24.0,3.0,1,0.0
128_E,5,11.0,1.0,0.0,1.0,1.0,2.0,1,1000008.0
129_A,24,40.0,11.0,0.0,5.0,11.0,2.0,1,0.0
12_B,17,30.0,5.0,0.0,4.0,5.0,2.0,1,0.0
12_C,46,71.0,23.0,0.0,3.0,23.0,3.0,1,0.0
12_D,21,35.0,12.0,0.0,2.0,12.0,2.0,1,0.0
12_E,17,28.0,9.0,0.0,3.0,9.0,3.0,2,0.0
131_B,23,40.0,13.0,0.0,3.0,13.0,3.0,1,0.0
131_C,20,31.0,11.0,0.0,3.0,11.0,3.0,1,0.0
131_D,16,26.0,8.0,0.0,3.0,8.0,3.0,1,0.0
131_E,5,11.0,1.0,0.0,1.0,1.0,2.0,1,100010.0
131_F,5,11.0,1.0,0.0,1.0,1.0,2.0,1,510.0
132_D,34,68.0,14.0,0.0,5.0,14.0,2.0,1,0.0
132_E,88,153.0,61.0,0.0,10.0,61.0,2.0,2,0.0
133_A,19,32.0,4.0,0.0,5.0,5.0,5.0,1,0.0
133_B,17,26.0,8.0,0.0,3.0,8.0,3.0,2,0.0
134_A,14,23.0,7.0,0.0,3.0,7.0,3.0,1,0.0
134_B,17,29.0,9.0,0.0,3.0,9.0,3.0,1,0.0
134_C,24,46.0,9.0,0.0,3.0,9.0,3.0,1,0.0
